,seed,model,reg,mu,train_acc,val_acc,test_acc,icd0,icd1,icd2,icd3
0,0,gcn,preg_loss,0.0,1.0,0.802,0.807,0.4584,0.5237,1.3094,1.3822
1,0,gcn,preg_loss,0.1,1.0,0.804,0.818,0.4446,0.5286,1.3692,1.4487
2,0,gcn,preg_loss,0.2,1.0,0.81,0.822,0.4269,0.5289,1.422,1.5072
3,0,gcn,preg_loss,0.3,1.0,0.818,0.824,0.4064,0.5261,1.4641,1.5543
4,0,gcn,preg_loss,0.4,1.0,0.812,0.832,0.3893,0.5246,1.4989,1.594
5,0,gcn,preg_loss,0.5,1.0,0.808,0.837,0.3787,0.5196,1.5278,1.6242
6,0,gcn,preg_loss,0.6,1.0,0.806,0.835,0.3646,0.5172,1.5507,1.6521
7,0,gcn,preg_loss,0.7,1.0,0.802,0.836,0.3538,0.5164,1.5715,1.6765
8,0,gcn,preg_loss,0.8,1.0,0.798,0.837,0.343,0.5146,1.5885,1.6968
9,0,mlp,preg_loss,0.0,1.0,0.58,0.603,0.4835,0.5743,1.5864,1.6777
10,0,mlp,preg_loss,0.1,1.0,0.486,0.471,0.425,0.4622,1.8156,1.7368
11,0,mlp,preg_loss,0.2,1.0,0.352,0.373,0.2991,0.3375,1.8956,1.7989
12,0,mlp,preg_loss,0.3,1.0,0.328,0.352,0.2493,0.2803,1.9454,1.8464
13,0,mlp,preg_loss,0.4,1.0,0.326,0.347,0.2276,0.2571,1.9665,1.864
14,0,mlp,preg_loss,0.5,1.0,0.324,0.346,0.2085,0.242,1.9862,1.8835
15,0,mlp,preg_loss,0.6,1.0,0.32,0.342,0.1884,0.2216,2.0116,1.9019
16,0,mlp,preg_loss,0.7,1.0,0.32,0.341,0.1741,0.2098,2.0306,1.9173
17,0,mlp,preg_loss,0.8,1.0,0.322,0.341,0.1698,0.2076,2.0292,1.9138
18,0,gcn,lap_loss,0.0,1.0,0.802,0.807,0.4584,0.5237,1.3094,1.3822
19,0,gcn,lap_loss,0.1,1.0,0.682,0.697,0.338,0.3612,0.7778,0.826
20,0,gcn,lap_loss,0.2,0.9929,0.658,0.678,0.2906,0.3105,0.6715,0.714
21,0,gcn,lap_loss,0.3,0.9929,0.658,0.673,0.2622,0.2798,0.6082,0.6463
22,0,gcn,lap_loss,0.4,0.9857,0.662,0.672,0.2414,0.2581,0.564,0.5989
23,0,gcn,lap_loss,0.5,0.9857,0.66,0.662,0.2267,0.2425,0.5314,0.5645
24,0,gcn,lap_loss,0.6,0.9857,0.642,0.645,0.2155,0.2306,0.5052,0.5369
25,0,gcn,lap_loss,0.7,0.9857,0.648,0.646,0.2059,0.2201,0.4835,0.5139
26,0,gcn,lap_loss,0.8,0.9857,0.65,0.652,0.198,0.2117,0.4658,0.4956
27,0,mlp,lap_loss,0.0,1.0,0.58,0.603,0.4835,0.5743,1.5864,1.6777
28,0,mlp,lap_loss,0.1,1.0,0.694,0.704,0.28,0.2956,0.7065,0.7341
29,0,mlp,lap_loss,0.2,1.0,0.72,0.736,0.2513,0.2635,0.6282,0.6492
30,0,mlp,lap_loss,0.3,1.0,0.69,0.7,0.2331,0.2454,0.5798,0.6019
31,0,mlp,lap_loss,0.4,1.0,0.734,0.753,0.2238,0.2352,0.5546,0.5774
32,0,mlp,lap_loss,0.5,1.0,0.722,0.749,0.2155,0.2273,0.5347,0.5577
33,0,mlp,lap_loss,0.6,1.0,0.732,0.741,0.2054,0.2202,0.5089,0.5378
34,0,mlp,lap_loss,0.7,1.0,0.716,0.741,0.2007,0.2126,0.4987,0.5227
35,0,mlp,lap_loss,0.8,1.0,0.734,0.733,0.1963,0.2081,0.4887,0.5123
36,1,gcn,preg_loss,0.0,1.0,0.802,0.807,0.4584,0.5237,1.3094,1.3822
37,1,gcn,preg_loss,0.1,1.0,0.804,0.818,0.4446,0.5286,1.3692,1.4487
38,1,gcn,preg_loss,0.2,1.0,0.81,0.822,0.4269,0.5289,1.422,1.5072
39,1,gcn,preg_loss,0.3,1.0,0.818,0.824,0.4064,0.5261,1.4641,1.5543
40,1,gcn,preg_loss,0.4,1.0,0.812,0.832,0.3893,0.5246,1.4989,1.594
41,1,gcn,preg_loss,0.5,1.0,0.808,0.837,0.3787,0.5196,1.5278,1.6242
42,1,gcn,preg_loss,0.6,1.0,0.806,0.835,0.3646,0.5172,1.5507,1.6521
43,1,gcn,preg_loss,0.7,1.0,0.802,0.836,0.3538,0.5164,1.5715,1.6765
44,1,gcn,preg_loss,0.8,1.0,0.798,0.837,0.343,0.5146,1.5885,1.6968
45,1,mlp,preg_loss,0.0,1.0,0.58,0.603,0.4835,0.5743,1.5864,1.6777
46,1,mlp,preg_loss,0.1,1.0,0.486,0.471,0.425,0.4622,1.8156,1.7368
47,1,mlp,preg_loss,0.2,1.0,0.352,0.373,0.2991,0.3375,1.8956,1.7989
48,1,mlp,preg_loss,0.3,1.0,0.328,0.352,0.2493,0.2803,1.9454,1.8464
49,1,mlp,preg_loss,0.4,1.0,0.326,0.347,0.2276,0.2571,1.9665,1.864
50,1,mlp,preg_loss,0.5,1.0,0.324,0.346,0.2085,0.242,1.9862,1.8835
51,1,mlp,preg_loss,0.6,1.0,0.32,0.342,0.1884,0.2216,2.0116,1.9019
52,1,mlp,preg_loss,0.7,1.0,0.32,0.341,0.1741,0.2098,2.0306,1.9173
53,1,mlp,preg_loss,0.8,1.0,0.322,0.341,0.1698,0.2076,2.0292,1.9138
54,1,gcn,lap_loss,0.0,1.0,0.802,0.807,0.4584,0.5237,1.3094,1.3822
55,1,gcn,lap_loss,0.1,1.0,0.682,0.697,0.338,0.3612,0.7778,0.826
56,1,gcn,lap_loss,0.2,0.9929,0.658,0.678,0.2906,0.3105,0.6715,0.714
57,1,gcn,lap_loss,0.3,0.9929,0.658,0.673,0.2622,0.2798,0.6082,0.6463
58,1,gcn,lap_loss,0.4,0.9857,0.662,0.671,0.2413,0.258,0.5637,0.5985
59,1,gcn,lap_loss,0.5,0.9857,0.658,0.662,0.2268,0.2426,0.5317,0.5647
60,1,gcn,lap_loss,0.6,0.9857,0.642,0.646,0.2156,0.2307,0.5053,0.5371
61,1,gcn,lap_loss,0.7,0.9857,0.648,0.646,0.2059,0.2201,0.4835,0.5139
62,1,gcn,lap_loss,0.8,0.9857,0.65,0.652,0.198,0.2117,0.4658,0.4956
63,1,mlp,lap_loss,0.0,1.0,0.58,0.603,0.4835,0.5743,1.5864,1.6777
64,1,mlp,lap_loss,0.1,1.0,0.69,0.706,0.28,0.2962,0.7074,0.7342
65,1,mlp,lap_loss,0.2,1.0,0.736,0.737,0.2518,0.2637,0.6287,0.6497
66,1,mlp,lap_loss,0.3,1.0,0.684,0.699,0.2335,0.2453,0.5808,0.6018
67,1,mlp,lap_loss,0.4,1.0,0.726,0.739,0.2236,0.2349,0.5547,0.5765
68,1,mlp,lap_loss,0.5,1.0,0.718,0.736,0.2153,0.2272,0.5342,0.5565
69,1,mlp,lap_loss,0.6,1.0,0.72,0.737,0.2072,0.2192,0.5146,0.538
70,1,mlp,lap_loss,0.7,1.0,0.762,0.77,0.2035,0.2168,0.5014,0.5295
71,1,mlp,lap_loss,0.8,1.0,0.746,0.769,0.1962,0.2086,0.4871,0.5129
72,2,gcn,preg_loss,0.0,1.0,0.802,0.807,0.4584,0.5237,1.3094,1.3822
73,2,gcn,preg_loss,0.1,1.0,0.804,0.818,0.4446,0.5286,1.3692,1.4487
74,2,gcn,preg_loss,0.2,1.0,0.81,0.822,0.4269,0.5289,1.422,1.5072
75,2,gcn,preg_loss,0.3,1.0,0.818,0.824,0.4064,0.5261,1.4641,1.5543
76,2,gcn,preg_loss,0.4,1.0,0.812,0.832,0.3893,0.5246,1.4989,1.594
77,2,gcn,preg_loss,0.5,1.0,0.808,0.837,0.3787,0.5196,1.5278,1.6242
78,2,gcn,preg_loss,0.6,1.0,0.806,0.835,0.3646,0.5172,1.5507,1.6521
79,2,gcn,preg_loss,0.7,1.0,0.802,0.836,0.3538,0.5164,1.5715,1.6765
80,2,gcn,preg_loss,0.8,1.0,0.798,0.837,0.343,0.5146,1.5885,1.6968
81,2,mlp,preg_loss,0.0,1.0,0.58,0.603,0.4835,0.5743,1.5864,1.6777
82,2,mlp,preg_loss,0.1,1.0,0.486,0.471,0.425,0.4622,1.8156,1.7368
83,2,mlp,preg_loss,0.2,1.0,0.352,0.373,0.2991,0.3375,1.8956,1.7989
84,2,mlp,preg_loss,0.3,1.0,0.328,0.352,0.2493,0.2803,1.9454,1.8464
85,2,mlp,preg_loss,0.4,1.0,0.326,0.347,0.2276,0.2571,1.9665,1.864
86,2,mlp,preg_loss,0.5,1.0,0.324,0.346,0.2085,0.242,1.9862,1.8835
87,2,mlp,preg_loss,0.6,1.0,0.32,0.342,0.1884,0.2216,2.0116,1.9019
88,2,mlp,preg_loss,0.7,1.0,0.32,0.341,0.1741,0.2098,2.0306,1.9173
89,2,mlp,preg_loss,0.8,1.0,0.322,0.341,0.1698,0.2076,2.0292,1.9138
90,2,gcn,lap_loss,0.0,1.0,0.802,0.807,0.4584,0.5237,1.3094,1.3822
91,2,gcn,lap_loss,0.1,1.0,0.682,0.697,0.338,0.3612,0.7778,0.826
92,2,gcn,lap_loss,0.2,0.9929,0.658,0.678,0.2906,0.3105,0.6715,0.714
93,2,gcn,lap_loss,0.3,0.9929,0.658,0.673,0.2622,0.2798,0.6082,0.6463
94,2,gcn,lap_loss,0.4,0.9857,0.662,0.672,0.2415,0.2581,0.564,0.5989
95,2,gcn,lap_loss,0.5,0.9857,0.66,0.662,0.2267,0.2425,0.5314,0.5645
96,2,gcn,lap_loss,0.6,0.9857,0.644,0.648,0.2154,0.2306,0.5048,0.5368
97,2,gcn,lap_loss,0.7,0.9857,0.648,0.65,0.2063,0.2204,0.4842,0.5147
98,2,gcn,lap_loss,0.8,0.9857,0.65,0.652,0.198,0.2117,0.4658,0.4956
99,2,mlp,lap_loss,0.0,1.0,0.58,0.603,0.4835,0.5743,1.5864,1.6777
100,2,mlp,lap_loss,0.1,1.0,0.694,0.704,0.28,0.2956,0.7065,0.7341
101,2,mlp,lap_loss,0.2,1.0,0.722,0.736,0.2513,0.2636,0.6282,0.6494
102,2,mlp,lap_loss,0.3,1.0,0.704,0.724,0.2341,0.2465,0.5792,0.6017
103,2,mlp,lap_loss,0.4,1.0,0.734,0.751,0.2235,0.2348,0.554,0.5767
104,2,mlp,lap_loss,0.5,1.0,0.722,0.749,0.2137,0.2274,0.5291,0.5564
105,2,mlp,lap_loss,0.6,1.0,0.72,0.727,0.2065,0.22,0.512,0.538
106,2,mlp,lap_loss,0.7,1.0,0.744,0.756,0.2016,0.2146,0.5002,0.5265
107,2,mlp,lap_loss,0.8,1.0,0.738,0.736,0.1967,0.2092,0.4881,0.5143
108,3,gcn,preg_loss,0.0,1.0,0.802,0.807,0.4584,0.5237,1.3094,1.3822
109,3,gcn,preg_loss,0.1,1.0,0.804,0.818,0.4446,0.5286,1.3692,1.4487
110,3,gcn,preg_loss,0.2,1.0,0.81,0.822,0.4269,0.5289,1.422,1.5072
111,3,gcn,preg_loss,0.3,1.0,0.818,0.824,0.4064,0.5261,1.4641,1.5543
112,3,gcn,preg_loss,0.4,1.0,0.812,0.832,0.3893,0.5246,1.4989,1.594
113,3,gcn,preg_loss,0.5,1.0,0.808,0.837,0.3787,0.5196,1.5278,1.6242
114,3,gcn,preg_loss,0.6,1.0,0.806,0.835,0.3646,0.5172,1.5507,1.6521
115,3,gcn,preg_loss,0.7,1.0,0.802,0.836,0.3538,0.5164,1.5715,1.6765
116,3,gcn,preg_loss,0.8,1.0,0.798,0.837,0.343,0.5146,1.5885,1.6968
117,3,mlp,preg_loss,0.0,1.0,0.58,0.603,0.4835,0.5743,1.5864,1.6777
118,3,mlp,preg_loss,0.1,1.0,0.486,0.471,0.425,0.4622,1.8156,1.7368
119,3,mlp,preg_loss,0.2,1.0,0.352,0.373,0.2991,0.3375,1.8956,1.7989
120,3,mlp,preg_loss,0.3,1.0,0.328,0.352,0.2493,0.2803,1.9454,1.8464
121,3,mlp,preg_loss,0.4,1.0,0.326,0.347,0.2276,0.2571,1.9665,1.864
122,3,mlp,preg_loss,0.5,1.0,0.324,0.346,0.2085,0.242,1.9862,1.8835
123,3,mlp,preg_loss,0.6,1.0,0.32,0.342,0.1884,0.2216,2.0116,1.9019
124,3,mlp,preg_loss,0.7,1.0,0.32,0.341,0.1741,0.2098,2.0306,1.9173
125,3,mlp,preg_loss,0.8,1.0,0.322,0.341,0.1698,0.2076,2.0292,1.9138
126,3,gcn,lap_loss,0.0,1.0,0.802,0.807,0.4584,0.5237,1.3094,1.3822
127,3,gcn,lap_loss,0.1,1.0,0.682,0.697,0.338,0.3612,0.7778,0.826
128,3,gcn,lap_loss,0.2,0.9929,0.658,0.678,0.2906,0.3105,0.6715,0.714
129,3,gcn,lap_loss,0.3,0.9929,0.658,0.673,0.2622,0.2798,0.6082,0.6463
130,3,gcn,lap_loss,0.4,0.9857,0.666,0.67,0.2413,0.258,0.5636,0.5986
131,3,gcn,lap_loss,0.5,0.9857,0.658,0.662,0.2268,0.2426,0.5317,0.5647
132,3,gcn,lap_loss,0.6,0.9857,0.644,0.647,0.2155,0.2306,0.505,0.5368
133,3,gcn,lap_loss,0.7,0.9857,0.648,0.65,0.2063,0.2204,0.4842,0.5147
134,3,gcn,lap_loss,0.8,0.9857,0.65,0.652,0.198,0.2117,0.4658,0.4956
135,3,mlp,lap_loss,0.0,1.0,0.58,0.603,0.4835,0.5743,1.5864,1.6777
136,3,mlp,lap_loss,0.1,1.0,0.69,0.698,0.2797,0.2955,0.7064,0.7328
137,3,mlp,lap_loss,0.2,1.0,0.702,0.723,0.2499,0.2631,0.6229,0.644
138,3,mlp,lap_loss,0.3,1.0,0.73,0.729,0.2332,0.2458,0.5785,0.6015
139,3,mlp,lap_loss,0.4,1.0,0.744,0.757,0.2236,0.235,0.5541,0.577
140,3,mlp,lap_loss,0.5,1.0,0.732,0.764,0.2136,0.2277,0.5282,0.5562
141,3,mlp,lap_loss,0.6,1.0,0.734,0.743,0.2085,0.2208,0.5171,0.5413
142,3,mlp,lap_loss,0.7,1.0,0.74,0.748,0.2028,0.215,0.5021,0.5272
143,3,mlp,lap_loss,0.8,1.0,0.73,0.736,0.1966,0.2086,0.4894,0.5139
